time,x,y,phi,xvar,yvar,phivar,xycovar,xphicovar,yphicovar
1745816862.9290936,-751.9735646732152,-11712.312014408031,2.2621270941821017,3108399974.5958695,12093039.019925162,28.860000000000277,-193223445.92587498,286758.82827008294,-17493.368331060818
1745816863.0237043,-755.3532627113163,-11813.875445194164,3.088363231163026,3166946090.125964,12211618.274457496,28.910000000000277,-195979196.98147908,289689.9488825708,-17590.90641644042
1745816863.1282105,-758.7329607494175,-11915.438875980297,-2.3685859390356363,3226088110.743487,12330857.398659365,28.960000000000278,-198754777.80493647,292626.1476665979,-17688.613486721926
1745816863.2233806,-762.1015720851719,-12017.807841129223,-1.9717016086953727,3286303266.187323,12450363.151295582,29.01000000000028,-201561273.22344556,295590.7528973108,-17786.168471005374
1745816863.3259256,-765.464814234525,-12121.183802432934,-2.1115299248394486,3347727240.6616,12570334.677898819,29.06000000000028,-204404164.91625094,298589.6895347315,-17883.736125758107
1745816863.4249125,-768.8321204669774,-12225.566767520824,-2.7880708874678994,3410379227.035036,12691109.214242123,29.11000000000028,-207286579.52464604,301623.0585001856,-17981.590044873174
1745816863.5276983,-772.2036934383214,-12330.352511234203,2.603882294973861,3473910449.4133387,12812697.608246494,29.16000000000028,-210198022.31508374,304673.3714996821,-18079.736534068998
1745816863.6245177,-775.5752664096653,-12435.138254947582,1.7126501702360137,3538081479.426667,12934948.38672649,29.21000000000028,-213130051.475887,307728.92378636426,-18178.05160191339
1745816863.7284546,-778.9468393810093,-12539.923998660961,0.8214180454981879,3602893415.08023,13057862.686432539,29.260000000000282,-216082702.33633393,310789.7153602321,-18276.535248406348
1745816863.8235369,-782.3184123523533,-12644.70974237434,-0.069814079239638,3668347354.379236,13181441.644115074,29.310000000000283,-219056010.22570264,313855.7462212856,-18375.187473547874
1745816863.9286442,-785.6899853236973,-12749.495486087719,-0.9610462039774639,3734444395.328894,13305686.396524524,29.360000000000284,-222050010.4732713,316927.01636952476,-18474.00827733797
1745816864.0240717,-789.0615582950413,-12854.281229801098,-1.8522783287152897,3801185635.9344125,13430598.08041132,29.410000000000284,-225064738.408318,320003.5258049496,-18572.99765977663
1745816864.1302834,-792.4331312663853,-12959.066973514477,-2.7435104534531156,3868572174.2009993,13556177.832525892,29.460000000000285,-228100229.36012095,323085.2745275601,-18672.155620863858
1745816864.223481,-795.8047042377293,-13063.852717227855,2.6484427289886447,3936605108.1338634,13682426.78961867,29.510000000000286,-231156518.65795818,326172.2625373563,-18771.48216059965
1745816864.351228,-799.1820881851017,-13169.239268131176,2.0774315515164226,4005681195.3361864,13809565.407029763,29.560000000000286,-234246892.9010233,329282.2196545133,-18871.148760886612
1745816864.4233556,-802.5599723346531,-13276.02776605598,2.2536432744348467,4076345398.4807124,13937396.798191464,29.610000000000287,-237385054.58061206,332438.88765317056,-18970.999016347352
1745816864.5309267,-805.9364355094731,-13383.01653558723,2.536574968056396,4147818787.3308334,14065849.126238681,29.660000000000288,-240547902.50838214,335606.8251189909,-19070.976090953773
1745816864.624661,-809.3063967712224,-13490.606104679027,3.139758126521695,4220377704.5645623,14194727.865449145,29.71000000000029,-243741476.5136865,338797.9317382536,-19170.929141977256
1745816864.7256734,-812.6580598838627,-13599.196902103344,-2.006491580786342,4294308718.9306793,14323575.609140951,29.76000000000029,-246969612.77179447,342024.1643297301,-19270.507053053803
1745816864.8235846,-815.9767084605992,-13709.5977733802,-1.4074893305242036,4370190975.82695,14451812.45037863,29.81000000000029,-250243055.0657841,345309.69425892935,-19369.27003469748
1745816864.9279506,-819.2874653823674,-13820.80421716682,-1.2378694044807794,4447360958.572405,14580398.09078326,29.86000000000029,-253551254.53688666,348624.75834820856,-19467.963698535394
1745816865.0237193,-822.5962653644383,-13932.61486322395,-1.3902709628123553,4525694175.937523,14709561.198634218,29.91000000000029,-256892556.70724982,351963.42423947447,-19566.764466000033
1745816865.1237698,-825.9077384956181,-14045.231112308422,-1.9720548453626812,4605347108.462051,14839483.816922853,29.960000000000292,-260272763.95783502,355331.7762495911,-19665.81062735362
1745816865.2236462,-829.2310426719487,-14158.854304141918,-3.090551374397382,4686481760.149223,14970530.6468459,30.010000000000293,-263699444.73596257,358735.9270769227,-19765.376820476486
1745816865.3317373,-832.5578449256718,-14272.678866214672,1.9667765639037533,4768536490.286053,15102378.78622319,30.060000000000294,-267154037.52845433,362151.80218472605,-19865.214156110716
1745816865.4242568,-835.884647179395,-14386.503428287426,0.7409191950252811,4851369489.200911,15234891.75712753,30.110000000000294,-270631377.1365507,365573.3685206331,-19965.217831857633
1745816865.5298889,-839.2149291522801,-14500.528239078441,-0.37815716799379473,4935129837.5091095,15368210.310514001,30.160000000000295,-274136803.5351609,369006.6555735506,-20065.492622061207
1745816865.6238341,-842.558253813535,-14615.75464899055,-0.8567916364816206,5020568899.976262,15502723.346206015,30.210000000000296,-277694206.0820894,372481.8840964999,-20166.327293844653
1745816865.724272,-845.901188660413,-14732.1827343177,-0.6949231752819465,5107713116.82146,15637895.385890823,30.260000000000296,-281299073.706693,375999.17655423307,-20267.31735556884
1745816865.8235366,-849.2441235072911,-14848.610819644848,-0.5330547140822723,5195677034.694389,15773743.190729354,30.310000000000297,-284927476.950919,379522.2904162326,-20368.474564035372
1745816865.9239433,-852.5870583541691,-14965.038904971996,-0.3711862528825982,5284462009.144957,15910267.878242945,30.360000000000298,-288579454.73591775,383051.2256824985,-20469.798919244247
1745816866.0235484,-855.9289908893406,-15081.66839105598,-0.3166481139485491,5374225114.373392,16047429.328293022,30.4100000000003,-292258801.5705152,386592.0968800083,-20571.259991012055
1745816866.1308684,-859.2728331573308,-15199.506289310375,-0.906183461342625,5465757781.05335,16185348.448379194,30.4600000000003,-295987561.0995192,390175.54736592446,-20672.946234381634
1745816866.2233446,-862.6227241046727,-15317.948366947094,-1.8177708106898258,5558611494.943974,16324199.494364753,30.5100000000003,-299755238.8909967,393783.2930507389,-20774.98391263767
1745816866.3311756,-865.98205928877,-15436.99457818977,-3.0513796444120267,5652800700.903231,16464129.072582453,30.5600000000003,-303563473.52668184,397415.392955753,-20877.47722910448
1745816866.4236221,-869.3542340286076,-15556.644862003246,1.6761753446703587,5748339932.850364,16605286.590218764,30.6100000000003,-307413954.15147454,401071.9056290929,-20980.530889153917
1745816866.5299046,-872.755352307111,-15677.301737613598,-0.4161676199112385,5845569721.835713,16748360.20882409,30.660000000000302,-311322053.8202537,404765.2125915258,-21084.639119658907
1745816866.6236475,-876.1899214275181,-15799.159815616527,-1.8680381723834394,5944672825.916826,16893560.18318092,30.710000000000303,-315294413.6484906,408501.38126309565,-21189.94300889059
1745816866.7238123,-879.6421075351536,-15922.019129581371,-2.7861562834493903,6045512774.240844,17040234.426090468,30.760000000000304,-319321043.4339532,412274.39079495607,-21295.959644256076
1745816866.8257608,-883.10763650015,-16046.0822857093,2.791191186101745,6148282346.1842785,17188212.380306974,30.810000000000304,-323405061.33464074,416090.5734774512,-21402.559315219365
